,Interest Pages,Follower Counts,Follow Rate
65,Chiappetta Shoes Inc,"1,437",0.0005526923076923076
66,SHOEMASTER INTERNATIONAL LTD.,148,5.692307692307693e-05
67,Target,"1,258,203",0.4839242307692308
68,Walmart,"2,928,850",1.1264807692307692
69,adidas,"1,978,691",0.761035
70,H&M,"1,617,394",0.6220746153846154
71,Columbia Sportswear Company,"157,285",0.06049423076923077
72,Belk,"62,693",0.02411269230769231
73,Under Armour,"628,020",0.24154615384615385
74,Inditex,"1,073,494",0.4128823076923077
75,Cato Corporation,"15,137",0.005821923076923077
76,lululemon,"410,422",0.15785461538461534
77,UNIQLO,"209,530",0.08058846153846154
78,Amer Sports Corporation,"59,198",0.02276846153846154
79,MANGO,"529,163",0.2035242307692308
80,Mast Global,"23,495",0.009036538461538462
81,Li & Fung Limited,"144,489",0.0555726923076923
82,Budi Luhur University,"15,463",0.005947307692307692
83,Kathmandu,"14,988",0.005764615384615385
84,Tokopedia,"580,567",0.223295
85,Otto International,"19,278",0.007414615384615384
86,Lazada,"555,399",0.213615
87,C&A Sourcing,"49,866",0.019179230769230768
88,WarnerMedia,"345,081",0.13272346153846154
89,AT&T,"1,319,013",0.5073126923076923
90,Turner (Turner Broadcasting System Inc),"276,925",0.10650961538461537
91,Digitas North America,"168,019",0.06462269230769231
92,Publicis,"203,131",0.07812730769230769
93,Interscope Records,"99,357",0.03821423076923077
94,Sony Music Entertainment,"623,468",0.23979538461538466
95,Saatchi & Saatchi,"407,696",0.15680615384615385
96,National Football League (NFL),"287,867",0.11071807692307692
97,Warner Music Group,"414,974",0.1596053846153846
98,TBWA\Chiat\Day,"66,724",0.025663076923076924
99,Hill Holliday,"24,467",0.009410384615384616
100,Ad Age,"974,844",0.37494
101,Live Nation Entertainment,"414,524",0.1594323076923077
102,AEG,"111,885",0.04303269230769231
103,House of Blues,"52,228",0.020087692307692303
104,TBE,"1,841",0.000708076923076923
105,American Advertising Federation,"16,569",0.0063726923076923075
106,Complex Networks,"91,780",0.0353
107,The Webby Awards,"6,354",0.0024438461538461537
108,phenomenon,"19,787",0.007610384615384615
109,Definition 6,"22,540",0.008669230769230771
110,Elon University,"42,075",0.016182692307692308
111,Fisher Investments,"145,961",0.056138846153846164
112,Greater Than One,"20,671",0.007950384615384616
113,GSD&M,"27,321",0.010508076923076922
114,McKinney,"16,333",0.006281923076923077
115,Bleacher Report,"74,895",0.028805769230769232
116,Live Oak Communications,809,0.00031115384615384615
117,T3,"12,224",0.004701538461538462
118,Lee Tilford Agency,"1,399",0.0005380769230769231
119,Civilian,"4,424",0.0017015384615384616
120,CID Entertainment,"8,179",0.0031457692307692306
121,Omnicom Media Group,"140,199",0.05392269230769231
122,Evolve Media LLC,"11,488",0.004418461538461539
123,Beats by Dr. Dre,"50,094",0.01926692307692308
124,Samsung Electronics America,"329,820",0.12685384615384615
125,Studio71 LP,"17,492",0.00672769230769231
126,Oxford Road,"5,347",0.0020565384615384608
127,OMD USA,"78,268",0.030103076923076923
128,Media Assembly,"37,456",0.014406153846153846
129,GREATS,"5,690",0.002188461538461539
130,ISA-ATX,709,0.00027269230769230767
131,Overtime,"11,814",0.0045438461538461535
132,WarnerMedia Ad Sales,"3,715",0.0014288461538461538
133,Xandr,"21,954",0.008443846153846154
134,TikTok,"1,224,485",0.4709557692307693
135,Quibi,"34,843",0.013401153846153849
136,Meg Whitman,"2,375,479",0.9136457692307692
137,Nestlé,"11,077,707",4.2606565384615385
138,Eli Lilly and Company,"1,090,105",0.4192711538461538
139,The Coca-Cola Company,"5,776,094",2.221574615384615
140,CNN,"2,673,622",1.0283161538461538
141,CWT,"183,669",0.07064192307692307
142,Egencia,"42,483",0.016339615384615383
143,Financial Times,"6,171,792",2.3737661538461543
144,World Health Organization,"3,729,432",1.4343969230769231
145,TÜBİTAK,"315,071",0.12118115384615386
146,Boğaziçi University,"117,215",0.04508269230769231
147,Turkish Airlines,"811,521",0.31212346153846154
148,Cvent,"177,209",0.0681573076923077
149,Business Travel News,"15,329",0.005895769230769231
150,Corporate Travel Management US,"11,799",0.004538076923076922
151,Twitter,"1,145,190",0.4404576923076923
152,International Air Transport Association (IATA),"487,460",0.1874846153846154
153,Marmara University,"181,635",0.06985961538461538
154,Airbnb,"1,488,635",0.5725519230769232
155,GlobalStar Travel Management,"2,211",0.0008503846153846155
156,BCD Meetings & Events,"43,140",0.016592307692307694
157,CWT Meetings & Events,"28,662",0.011023846153846151
158,Notre Dame de Sion School,"1,450",0.0005576923076923078
159,Koç University,"97,457",0.037483461538461535
160,TED Conferences,"19,198,311",7.383965769230769
161,Business Insider,"9,979,586",3.8383023076923073
162,Maltepe University,"18,985",0.007301923076923075
163,LOSEV - Losemili Çocuklar Saglık ve Egitim Vakfı,"29,903",0.011501153846153848
164,TEGV - Türkiye Eğitim Gönüllüleri Vakfı,"50,564",0.019447692307692308
165,Türk Eğitim Derneği,"16,528",0.006356923076923078
166,KPMG Türkiye,"76,429",0.029395769230769232
167,Event Industry News,"57,866",0.022256153846153846
168,TURSAB (The Association of Turkish Travel Agencies),"8,967",0.003448846153846155
169,MERIDIAN MICE,439,0.00016884615384615386
170,Amazon Web Services (AWS),"5,232,309",2.0124265384615385
171,Özak Global Holding,"8,149",0.003134230769230769
172,Harvard Business Review Türkiye,"76,510",0.02942692307692308
173,Yenibirlider Association,"9,402",0.003616153846153846
174,British Embassy Turkey,"8,475",0.003259615384615385
175,Digital Partners,"3,302",0.0012699999999999999
176,Turkish Entrepreneurship Foundation,"21,569",0.00829576923076923
177,Pazarlama Türkiye,"24,100",0.009269230769230773
178,American Express Global Business Travel,"124,176",0.04776
179,Uzakrota,"1,512",0.0005815384615384616
180,Amadeus Corporate Solutions,"5,126",0.0019715384615384608
181,Girişimci Kafası,"303,954",0.11690538461538462
182,Women In Africa Initiative,"17,455",0.006713461538461539
183,Umbrella Travel Technology,"1,180",0.0004538461538461538
184,Business Traveller,"12,181",0.004685
185,Turizm Günlüğü,"8,794",0.003382307692307693
186,MERIDIAN TOURS LIMITED,10,3.846153846153846e-06
187,DMCREP,138,5.3076923076923076e-05
188,Influera,145,5.576923076923077e-05
189,HH Sheikh Hamdan Bin Mohammed Bin Rashid Al Maktoum,"2,220,844",0.8541707692307693
190,Kristalina Georgieva,"67,484",0.025955384615384613
191,Alex Rodriguez,"288,028",0.11078
192,IBM,"9,745,060",3.7481
193,The New York Times,"5,818,090",2.2377269230769232
194,Aramco,"1,494,393",0.5747665384615385
195,Louis Vuitton,"1,465,188",0.5635338461538462
196,Freudenberg Sealing Technologies,"54,983",0.02114730769230769
197,Tesla,"7,357,497",2.8298065384615385
198,Christian Dior Couture,"648,228",0.24931846153846154
199,Versace,"319,689",0.1229573076923077
200,Civil & Environmental Consultants Inc.,"21,482",0.008262307692307692
201,Technical University of Sofia,"35,095",0.013498076923076923
202,Prime Minister's Office - UAE,"163,222",0.06277769230769231
203,Maxxium Bulgaria,"1,023",0.0003934615384615385
204,Mohammed Bin Rashid Al Maktoum Knowledge Foundation,"24,621",0.009469615384615384
205,Списание Мениджър,"28,647",0.011018076923076922
206,Кариери,"34,105",0.013117307692307694
207,HP,"4,327,640",1.6644769230769232
208,LUXIMMO / ЛУКС ИМОТИ,395,0.00015192307692307692
209,The Female Lead,"2,042,360",0.7855230769230769
210,Private Office of His Highness Sheikh Hamdan bin Ahmed Al Maktoum,"9,467",0.003641153846153846
211,Наука за хората,"3,273",0.0012588461538461538
212,The Private Office of H.H. Sheikh Hamdan bin Mohammed bin Rashid Al Maktoum,"3,610",0.0013884615384615385
213,European Leadership,"246,604",0.09484769230769233
214,Forbes Bulgaria,"12,041",0.0046311538461538465
215,Abu Dhabi Arts Society (ADAS) مؤسسة أبوظبي للفنون,"2,236",0.0008600000000000001
216,The Private Office Of Sheikh Saqer Bin Mohamed Al Qasimi,"72,232",0.027781538461538455
217,FAZ,353,0.00013576923076923076
218,Emirates Arts & Culture Academy,42,1.6153846153846154e-05
219,Christine Lagarde,"1,728,957",0.6649834615384616
220,Brené Brown,"2,459,206",0.9458484615384616
221,Bruce Kasanoff,"867,696",0.3337292307692308
222,Simon Sinek,"3,927,459",1.510561153846154
223,Accenture,"6,193,999",2.382307307692308
224,Procter & Gamble,"5,455,683",2.0983396153846154
225,PepsiCo,"5,173,687",1.9898796153846159
226,L'Oréal,"3,174,987",1.2211488461538462
227,CNN Business,"3,083,480",1.185953846153846
228,Stanford University,"839,569",0.3229111538461539
229,Levi Strauss & Co.,"477,574",0.1836823076923077
230,Ralph Lauren,"716,318",0.2755069230769231
231,HBO,"988,073",0.38002807692307694
232,Harvard Business School,"1,351,016",0.5196215384615385
233,Converse,"198,022",0.0761623076923077
234,Hurley,"72,604",0.027924615384615385
235,Petit Bateau,"38,598",0.014845384615384613
236,Jacadi,"11,275",0.004336538461538461
237,CHANEL,"1,478,835",0.5687826923076923
238,LVMH,"1,388,973",0.5342203846153846
239,Salomon,"121,032",0.046550769230769236
240,vente-privee devient Veepee,"87,847",0.033787307692307686
241,Université Bordeaux1,"21,078",0.008106923076923078
242,SANDRO,"81,206",0.03123307692307692
243,Bonpoint,"10,018",0.0038530769230769226
244,Bloch consulting,"9,822",0.003777692307692308
245,Optimizely,"53,599",0.020615
246,IKKS,"22,968",0.008833846153846154
247,Groupe Royer,"6,107",0.002348846153846154
248,My Little Paris,"28,772",0.011066153846153849
249,Accenture Interactive,"95,423",0.03670115384615385
250,JobLeads,"170,452",0.06555846153846154
251,Hermès,"742,011",0.2853888461538462
252,G&M Fashion Career,"72,592",0.02792
253,SMCP – Sandro Maje Claudie Pierlot De Fursac,"59,893",0.02303576923076923
254,GALRY,522,0.00020076923076923082
255,Université de Bordeaux,"117,182",0.04507
256,How to Land ANY Job When Everyone Says You Can't,58,2.230769230769231e-05
257,Harvard Business School Online,"142,051",0.054635
258,Harvard Advanced Leadership Initiative,"42,830",0.016473076923076924
259,Zodiac™ (Acquired by Nike),862,0.0003315384615384616
260,Nexus Développement,56,2.153846153846154e-05
261,MIT Innovation Initiative,"14,609",0.005618846153846154
262,McKinsey Strategy & Corporate Finance,"72,160",0.02775384615384616
263,Paris 2024 - Comité d'organisation des Jeux Olympiques et Paralympiques de 2024,"88,039",0.03386115384615385
264,Veepee,"100,217",0.038544999999999996
265,Le mouton à 5 pattes - Recruteurs de Talents,"17,724",0.006816923076923077
266,ThriveOn Seminars,440,0.00016923076923076923
267,How to use LinkedIn® professional networking services,419,0.00016115384615384616
268,Paris Sud Business Club,"1,570",0.0006038461538461539
269,Bras Droit des Dirigeants Gatinais,331,0.00012730769230769227
270,BCG on Digital and Technology,"44,017",0.016929615384615383
271,Oregon Sports Angels,755,0.00029038461538461537
272,Floriane de Saint Pierre & Associés,"2,375",0.0009134615384615382
273,TEDx,"286,293",0.1101126923076923
274,Eyes on Talents,"3,822",0.00147
275,WOMEN IN SALES France,188,7.230769230769229e-05
276,ExxonMobil,"2,216,699",0.8525765384615384
277,Chevron,"3,148,288",1.21088
278,Centrica,"96,090",0.03695769230769231
279,Direct Energy,"45,760",0.0176
280,ConocoPhillips,"966,471",0.3717196153846154
281,NRG Energy,"74,774",0.02875923076923077
282,Stafford High School,124,4.769230769230769e-05
283,Tim Tebow,"883,074",0.3396438461538461
284,Oracle,"6,240,083",2.4000319230769227
285,Johnson & Johnson,"6,145,299",2.3635765384615386
286,Fifth Third Bank,"108,623",0.041778076923076925
287,Cintas,"139,457",0.053637307692307686
288,Sysco,"203,649",0.07832653846153846
289,Miami University,"195,669",0.07525730769230769
290,Gordon Food Service,"66,725",0.025663461538461538
291,Performance Food Group,"50,909",0.019580384615384614
292,Xavier University,"64,980",0.024992307692307696
293,Medpace,"83,446",0.03209461538461538
294,University of Cincinnati,"233,221",0.08970038461538461
295,Ulta Beauty,"295,128",0.11351076923076925
296,US Foods,"229,806",0.08838692307692309
297,Cassady Schiller CPAs & Advisors,542,0.00020846153846153844
298,Nubank,"2,806,945",1.0795942307692308
299,Glossier Inc.,"126,214",0.04854384615384615
300,LinkedIn Guide to Networking,"16,062,462",6.17787
301,Kunal Bahl,"532,240",0.2047076923076923
302,Gary Vaynerchuk,"4,439,167",1.707371923076923
303,Ryan Holmes,"1,729,993",0.6653819230769231
304,Jeff Weiner,"10,794,654",4.15179
305,Ryan Roslansky,"255,284",0.09818615384615384
306,Philips,"1,771,619",0.6813919230769231
307,Dell EMC,"1,125,532",0.4328969230769231
308,Infosys,"3,644,404",1.4016938461538462
309,Wipro Limited,"3,616,258",1.3908684615384617
310,Adobe,"2,681,310",1.031273076923077
311,NEC Corporation,"144,431",0.05555038461538461
312,HCL Technologies,"2,278,146",0.87621
313,Tech Mahindra,"1,794,824",0.690316923076923
314,JDA Software,"86,100",0.033115384615384616
315,Atkins,"549,386",0.21130230769230768
316,Luxoft,"296,815",0.1141596153846154
317,ABC Consultants,"314,556",0.12098307692307693
318,Facebook,"6,605,846",2.54071
319,PRO Unlimited,"61,974",0.023836153846153847
320,UST,"342,288",0.13164923076923074
321,Alorica,"101,180",0.038915384615384616
322,Zycus,"214,670",0.08256538461538462
323,Goodwin Recruiting,"49,231",0.018935
324,The Climate Corporation,"33,023",0.012701153846153843
325,Capgemini,"2,827,903",1.0876549999999998
326,CareerNet Technologies,"44,687",0.01718730769230769
327,DAMAC Properties,"362,137",0.13928346153846152
328,Datamatics,"55,738",0.02143769230769231
329,Max Life Insurance Company Limited,"149,297",0.05742192307692307
330,Zyoin,"53,671",0.020642692307692303
331,Flipkart,"1,834,107",0.7054257692307693
332,Sannam S4,"19,592",0.007535384615384616
333,Bosch Engineering and Business Solutions,"346,208",0.1331569230769231
334,Posiflex Technology (India) Pvt. Ltd.,"11,442",0.004400769230769232
335,Games24x7,"51,951",0.019981153846153846
336,V4U,"3,744",0.00144
337,BairesDev,"419,696",0.16142153846153848
338,ScaleneWorks People Solutions LLP,"12,393",0.004766538461538462
339,Centum Electronics Ltd.,"16,822",0.00647
340,Hucon Solutions,"4,194",0.001613076923076923
341,WilsonHCG,"51,652",0.019866153846153846
342,TalentBeacon Solutions Group,517,0.00019884615384615383
343,Annalect,"69,391",0.02668884615384616
344,Indo-French Chamber of Commerce & Industry,"35,988",0.013841538461538462
345,Whatfix,"50,628",0.01947230769230769
346,Halma plc,"22,801",0.008769615384615384
347,Ideapoke,"9,875",0.0037980769230769227
348,Happiest Minds Technologies,"61,518",0.023660769230769232
349,FranchiseBazar,"20,233",0.007781923076923077
350,Furlenco,"54,585",0.02099423076923077
351,BYJU'S,"349,697",0.13449884615384616
352,Webenza,"11,239",0.004322692307692308
353,Siemens Technology India,"495,103",0.1904242307692308
354,Blue Yonder,"91,276",0.035106153846153836
355,iCert Global,"10,175",0.003913461538461538
356,KeepTruckin,"109,767",0.04221807692307692
357,SPACE Consultants,"27,130",0.010434615384615384
358,MRK INNOAPPS,"3,544",0.001363076923076923
359,EQ India,"15,349",0.005903461538461539
360,SFJ Business Solutions Pvt. Ltd.,"4,049",0.0015573076923076925
361,CMS IT Services,"20,503",0.007885769230769231
362,DIAGNAL,"9,323",0.0035857692307692305
363,Zilingo,"52,289",0.020111153846153845
364,Dunzo,"87,935",0.03382115384615385
365,Bharath University,"14,005",0.005386538461538461
366,Swiggy,"620,578",0.23868384615384616
367,Aye Finance Pvt. Ltd,"43,978",0.01691461538461539
368,Hindustan Times,"547,788",0.21068769230769235
369,Walmart Global Tech India,"410,389",0.15784192307692307
370,Nineleaps,"35,356",0.013598461538461537
371,Talentiser,"71,332",0.02743538461538462
372,SigTuple,"17,144",0.006593846153846153
373,PharmEasy,"27,112",0.010427692307692308
374,Crediwatch,"6,829",0.002626538461538461
375,Rapido,"59,051",0.022711923076923074
376,PhonePe,"168,113",0.06465884615384615
377,ITCAN Technology and Digital Marketing,"46,152",0.01775076923076923
378,udaan.com,"232,015",0.08923653846153845
379,Finastra,"94,131",0.036204230769230766
380,HROne,"2,922",0.0011238461538461539
381,Aryush Infotech India Private Limited,"11,735",0.004513461538461538
382,Chqbook.com,"8,107",0.0031180769230769235
383,VishUMoney,236,9.076923076923078e-05
384,Jiny,"3,844",0.0014784615384615385
385,Data as Services,"7,590",0.002919230769230769
386,Brick&Bolt,"24,955",0.009598076923076923
387,Syndicate Capital,"21,660",0.008330769230769232
388,Conscript.IN,"1,164",0.0004476923076923077
389,ITConnectUS,"21,013",0.008081923076923077
390,Akshay Software Technologies Limited,"2,419",0.0009303846153846156
391,Marks and Spencer Reliance India Private Limited,"53,746",0.020671538461538463
392,Leap Finance,"3,227",0.0012411538461538465
393,Samsidh,"1,433",0.0005511538461538462
394,Axis Vantage,"1,424",0.0005476923076923077
395,PAGO Analytics,"1,481",0.0005696153846153848
396,orgs.co,13,5e-06
397,MC Talent Hunt,241,9.269230769230771e-05
398,International Olympic Committee – IOC,"138,257",0.05317576923076923
399,Sacramento Kings,"17,147",0.006595
400,Tampa Bay Times - Times Publishing Co,"15,961",0.006138846153846154
401,Dapresy,"2,171",0.0008349999999999999
402,City of Myrtle Beach,"5,004",0.0019246153846153849
403,EUE/Screen Gems,"3,181",0.0012234615384615385
404,International Olympic Academy,"2,304",0.0008861538461538463
405,Skydio,"14,360",0.005523076923076923
406,Front Office Sports,"63,513",0.024428076923076924
407,KODAK Digitizing,37,1.4230769230769232e-05
408,Bayer,"3,363,731",1.2937426923076922
409,Danone,"2,188,565",0.8417557692307693
410,Flex,"469,792",0.1806892307692308
411,Boehringer Ingelheim,"1,107,727",0.4260488461538462
412,CEMEX,"603,744",0.2322092307692308
413,Ferrero,"844,784",0.32491692307692305
414,Plexus Corp.,"57,056",0.021944615384615385
415,Beiersdorf,"446,819",0.17185346153846154
416,Coca-Cola FEMSA,"1,929,081",0.7419542307692307
417,Universidad Panamericana,"80,028",0.03078
418,Cinepolis Corporativo,"260,913",0.10035115384615384
419,Universidad Autónoma de Sinaloa,"38,244",0.01470923076923077
420,Grupo Bimbo,"731,071",0.28118115384615383
421,GEPP,"67,976",0.026144615384615384
422,Mindy Grossman,"25,613",0.009851153846153845
423,Thunderbird School of Global Management,"54,266",0.020871538461538462
424,Simmons University,"39,189",0.015072692307692306
425,Sustainable Brands,"50,381",0.01937730769230769
426,Patagonia,"496,935",0.19112884615384607
427,The WIE Suite,"1,600",0.0006153846153846152
428,Sustainable Apparel Coalition,"33,712",0.012966153846153844
429,Fashion for Good,"40,923",0.015739615384615387
430,Brené Brown Education and Research Group,"45,075",0.01733653846153846
431,Donna Orender,"6,397",0.0024603846153846147
432,Oprah Winfrey,"965,575",0.371375
433,Mark Cuban,"6,388,395",2.457075
434,Cathy Engelbert,"89,522",0.034431538461538465
435,University of Southern California,"485,972",0.18691230769230768
436,CompuCom,"70,171",0.026988846153846155
437,Reebok,"298,832",0.1149353846153846
438,California State University Long Beach,"215,549",0.08290346153846154
439,Golden State Warriors,"50,845",0.01955576923076923
440,United Talent Agency,"97,346",0.03744076923076923
441,Women's Sports Foundation,"7,942",0.0030546153846153852
442,Learfield,"20,315",0.007813461538461538
443,Miami HEAT,"34,876",0.013413846153846156
444,Diversified Search Group,"15,784",0.0060707692307692285
445,SRI,"29,149",0.011211153846153843
446,Euroleague Basketball,"22,925",0.008817307692307692
447,Turnkey Search,"9,608",0.0036953846153846147
448,FIBA,"39,765",0.015294230769230768
449,National Basketball Association (NBA),"276,254",0.10625153846153848
450,You First Sports,"9,839",0.003784230769230769
451,PUMA Group,"622,716",0.23950615384615384
452,Sports Business Journal / Daily,"43,477",0.016721923076923075
453,Prodigy Search,"18,458",0.007099230769230769
454,TeamWork Online,"55,676",0.02141384615384615
455,Richardson Sports,"1,700",0.0006538461538461537
456,NBA G League,"21,143",0.008131923076923077
457,WorkInSports.com,"43,477",0.016721923076923075
458,National Basketball Players Association (NBPA),"19,158",0.007368461538461537
459,Noto Group Executive Search,"12,191",0.004688846153846154
460,Lagardère Sports,"50,888",0.01957230769230769
461,Global Sports,"70,967",0.027295
462,Goodwin Sports,612,0.00023538461538461538
463,Jobs In Sports,"48,834",0.01878230769230769
464,The Executives in Sport Group,"38,535",0.014821153846153847
465,Hashtag Sports,"3,447",0.0013257692307692304
466,ByteDance,"650,366",0.2501407692307692
467,XFL,"32,539",0.012515
468,Thirty Five Ventures,"2,139",0.0008226923076923077
469,WNBA (Women's National Basketball Association),"5,864",0.002255384615384616
470,SPORTFIVE,"55,535",0.021359615384615383
471,Paul Metselaar,"274,009",0.10538807692307693
472,Nickelodeon,"148,557",0.05713730769230769
473,Progressive Insurance,"120,705",0.046425
474,State of Florida,"41,205",0.015848076923076927
475,PNC,"197,267",0.07587192307692309
476,Florida International University,"259,825",0.0999326923076923
477,Citi,"2,960,188",1.138533846153846
478,The New Yorker,"643,454",0.2474823076923077
479,National Insurance Crime Bureau,"19,059",0.007330384615384615
480,National Geographic,"3,084,138",1.1862069230769232
481,University of Central Florida,"331,929",0.127665
482,PBS,"64,407",0.02477192307692308
483,IR}S Forensic Investigations & Integrity Services,"1,593",0.0006126923076923077
484,The James Allen Companies Inc.,"1,377",0.0005296153846153847
485,Florida Association of Licensed Investigators,691,0.0002657692307692309
486,MSM Security Services LLC,"3,351",0.0012888461538461539
487,Florida Department of Agriculture and Consumer Services,"6,502",0.002500769230769231
488,Uber,"1,752,059",0.6738688461538461
489,Florida Department of State,"2,156",0.0008292307692307693
490,Sanford Rose Associates International Inc.,"15,605",0.0060019230769230774
491,Condé Nast,"435,589",0.16753423076923074
492,FIU Alumni Association,"2,692",0.0010353846153846153
493,Samsung Electronics,"2,970,511",1.1425042307692308
494,Mercer,"469,922",0.1807392307692308
495,J. Walter Thompson Worldwide,"314,045",0.12078653846153847
496,American Airlines,"650,842",0.2503238461538462
497,BBDO Worldwide,"280,560",0.1079076923076923
498,Leo Burnett,"477,643",0.1837088461538461
499,DDB,"242,992",0.09345846153846153
500,Island Records,"5,966",0.002294615384615385
501,Young & Rubicam,"220,483",0.08480115384615385
502,Ipsos,"208,653",0.08025115384615385
503,Techint Group,"212,533",0.08174346153846154
504,WPP,"185,732",0.07143538461538461
505,Galicia Bank,"295,479",0.11364576923076924
506,Mercado Libre,"561,184",0.21584
507,Prosegur,"416,009",0.16000346153846154
508,Clarín,"36,247",0.013941153846153846
509,Aerolineas Argentinas,"272,868",0.10494923076923078
510,Despegar,"325,318",0.1251223076923077
511,UADE,"129,545",0.049825
512,Austin Commercial,"22,596",0.008690769230769231
513,Aeropuertos Argentina 2000,"149,765",0.05760192307692308
514,Artear,"32,664",0.012563076923076923
515,Infobae,"44,337",0.01705269230769231
516,Radio Mitre,"8,064",0.003101538461538461
517,the community,"19,551",0.007519615384615384
518,America TV,"7,127",0.0027411538461538463
519,TELEFE,"42,203",0.016231923076923078
520,Hospital Alemán,"92,404",0.035539999999999995
521,TyC Sports,"22,320",0.008584615384615385
522,Penguin Random House Grupo Editorial S.A.U,"28,202",0.010846923076923077
523,Grey Group,"176,558",0.06790692307692307
524,Havas Media Group,"261,110",0.10042692307692308
525,Sciences Po,"173,320",0.06666153846153848
526,Ministerio de Trabajo Empleo y Seguridad Social,"449,919",0.17304576923076925
527,Universidad Austral Buenos Aires,"54,863",0.021101153846153846
528,University of Buenos Aires,"655,046",0.25194076923076925
529,Avantrip.com,"14,303",0.005501153846153846
530,La Nacion,"56,565",0.02175576923076923
531,Buenos Aires City Government,"186,000",0.07153846153846154
532,Grupo Arcor,"666,566",0.25637153846153843
533,Kuarzo Entertainment Argentina,"20,453",0.007866538461538461
534,IMS Internet Media Services,"124,498",0.04788384615384615
535,Entravision Digital,"6,430",0.002473076923076923
536,Radio La Red AM910,"1,564",0.0006015384615384615
537,di Paola Latina,"3,898",0.0014992307692307696
538,Falabella Argentina,"138,414",0.053236153846153836
539,Fox International Channels (FIC),"76,945",0.02959423076923077
540,Radio Continental,"3,741",0.0014388461538461536
541,Grupo Clarín,"12,438",0.004783846153846154
542,Record Label Music,"3,463",0.001331923076923077
543,Grupo Lafken,"2,062",0.0007930769230769231
544,Booker Software,"4,395",0.0016903846153846155
545,Liebre Amotinada Ideas,53,2.0384615384615383e-05
546,Municipalidad de Avellaneda,"1,349",0.0005188461538461538
547,IAE Business School,"56,336",0.021667692307692308
548,MetroMedia es Metro 95.1 Infocampo PulsoUrbano Bacanal El Federal y San Isidro Labrador,"3,540",0.0013615384615384616
549,SARKANY,"15,658",0.006022307692307692
550,Tiendanube,"35,042",0.013477692307692309
551,Dafiti Group LATAM,"79,240",0.030476923076923075
